model_family,feature_set,scope,n,mae,rmse,r2,directional_accuracy,prev_rmse,prev_r2,rmse_redux_vs_prev_pct,r2_gain_vs_prev
extra,M2_sector,Health Care,427,0.16189696089676245,0.3233521155178377,0.01193218003149732,0.7377049180327869,0.32339439408506654,0.011673781705044517,0.013073376657761452,0.00025839832645280225
extra,M3_company,Health Care,427,0.16310777148001174,0.32351403478302465,0.010942378111825302,0.7330210772833724,0.3233521155178377,0.01193218003149732,-0.05007521442302302,-0.0009898019196720176
extra,M4_idio_vol,Health Care,427,0.16282371334060855,0.32427067714491037,0.006310504628576852,0.7283372365339579,0.32351403478302465,0.010942378111825302,-0.23388239165363717,-0.00463187348324845
extra,M5_text,Health Care,427,0.16263758788021443,0.32481972384987284,0.002942677290014073,0.7447306791569087,0.32427067714491037,0.006310504628576852,-0.1693174078509468,-0.003367827338562779
extra,M0_baseline,Industrials,490,0.15827813164053112,0.2757038918197799,-0.07446600003776149,0.6061224489795919,,,,
extra,M1_macro,Industrials,490,0.15777414713666782,0.2751039570949494,-0.06979498780683069,0.6122448979591837,0.2757038918197799,-0.07446600003776149,0.21760110851922923,0.004671012230930804
extra,M2_sector,Industrials,490,0.15654275262986087,0.27474275866046927,-0.06698765191076705,0.6122448979591837,0.2751039570949494,-0.06979498780683069,0.13129525227274777,0.002807335896063634
extra,M3_company,Industrials,490,0.15591781090726287,0.27483981547231945,-0.06774164238556613,0.6,0.27474275866046927,-0.06698765191076705,-0.0353264312855381,-0.0007539904747990711
extra,M4_idio_vol,Industrials,490,0.1555387480678574,0.2741183597050521,-0.062143346470585836,0.6163265306122448,0.27483981547231945,-0.06774164238556613,0.2625004554116375,0.005598295914980289
extra,M5_text,Industrials,490,0.1567601711782566,0.27546408320921073,-0.07259766123989375,0.6081632653061224,0.2741183597050521,-0.062143346470585836,-0.4909278990311361,-0.010454314769307915
extra,M0_baseline,Materials,394,0.22420262764538035,0.3762076205120086,-0.020771036875556703,0.5786802030456852,,,,
extra,M1_macro,Materials,394,0.22194228672197966,0.3719056803059212,0.0024405540471562626,0.565989847715736,0.3762076205120086,-0.020771036875556703,1.1435016122832924,0.023211590922712966
extra,M2_sector,Materials,394,0.22053283541585533,0.37176279464700196,0.003206928776251061,0.5736040609137056,0.3719056803059212,0.0024405540471562626,0.038419864628499216,0.0007663747290947986
extra,M3_company,Materials,394,0.22023008751741685,0.3718024490500501,0.0029942698288007996,0.565989847715736,0.37176279464700196,0.003206928776251061,-0.01066658730220794,-0.0002126589474502616
extra,M4_idio_vol,Materials,394,0.22054384614874517,0.3709421677168687,0.007602701731086237,0.5685279187817259,0.3718024490500501,0.0029942698288007996,0.23138129815427413,0.004608431902285437
extra,M5_text,Materials,394,0.21953768980610505,0.37132358760576367,0.0055607948996567735,0.565989847715736,0.3709421677168687,0.007602701731086237,-0.10282462391444272,-0.002041906831429463
extra,M0_baseline,Real Estate,432,0.21077155174046572,0.41189314829874635,-0.003215538238820592,0.8078703703703703,,,,
extra,M1_macro,Real Estate,432,0.21231361408577298,0.409127730869701,0.010210256775638915,0.7916666666666666,0.41189314829874635,-0.003215538238820592,0.6713919472725941,0.013425795014459507
